index,name,sex
1343,Rhona,F
1344,Suzie,F
1345,Tamra,F
1346,Vada,F
1347,Valencia,F
1348,Velia,F
1349,Willene,F
1350,Willia,F
1351,Amparo,F
1352,Dalia,F
1353,Deidra,F
1354,Francina,F
1355,Liane,F
1356,Lovie,F
1357,Nena,F
1358,Risa,F
1359,Rutha,F
1360,Syble,F
1361,Tania,F
1362,Trena,F
1363,Venus,F
1364,Cathi,F
1365,Concepcion,F
1366,Delfina,F
1367,Dortha,F
1368,Johnna,F
1369,Lavada,F
1370,Linette,F
1371,Sharol,F
1372,Sueann,F
1373,Vesta,F
1374,Arla,F
1375,Armida,F
1376,Artie,F
1377,Billy,F
1378,Clair,F
1379,Daniel,F
1380,Dayna,F
1381,Dovie,F
1382,Felice,F
1383,Jacqualine,F
1384,Lawanna,F
1385,Lilia,F
1386,Lissa,F
1387,Maren,F
1388,Marlane,F
1389,Meri,F
1390,Micheline,F
1391,Savannah,F
1392,Shela,F
1393,Tresa,F
1394,Verdell,F
1395,Catalina,F
1396,Ellie,F
1397,Karleen,F
1398,Kenneth,F
1399,Lavina,F
1400,Lennie,F
1401,Magnolia,F
1402,Nickie,F
1403,Pearlene,F
1404,Roni,F
1405,Roxy,F
1406,Royce,F
1407,Signe,F
1408,Una,F
1409,Valli,F
1410,Velva,F
1411,Alpha,F
1412,Billye,F
1413,Cecily,F
1414,Delora,F
1415,Glory,F
1416,Jennette,F
1417,Josette,F
1418,Lanita,F
1419,Larae,F
1420,Laurette,F
1421,Lida,F
1422,Lisbeth,F
1423,Margene,F
1424,Merrilee,F
1425,Ninfa,F
1426,Ouida,F
1427,Paige,F
1428,Rafaela,F
1429,Raye,F
1430,Ronni,F
1431,Wendi,F
1432,Cherilyn,F
1433,Dyann,F
1434,Elois,F
1435,Erna,F
1436,Gemma,F
1437,Glennis,F
1438,Gwenn,F
1439,Lenna,F
1440,Lorretta,F
1441,Lu,F
1442,Mandy,F
1443,Michal,F
1444,Novella,F
1445,Nyla,F
1446,Oma,F
1447,Rory,F
1448,Star,F
1449,Valentina,F
1450,Zona,F
1451,Alecia,F
1452,Cary,F
1453,Charlean,F
1454,Charlyn,F
1455,Dalene,F
1456,Delorise,F
1457,Dorthea,F
1458,Eartha,F
1459,Genie,F
1460,Gerald,F
1461,Gertie,F
1462,Hollie,F
1463,Jeanene,F
1464,Lucie,F
1465,Marcene,F
1466,Marjean,F
1467,Rise,F
1468,Rosaline,F
1469,Steven,F
1470,Suanne,F
1471,Terrill,F
1472,Vivien,F
1473,Anastasia,F
1474,Ardella,F
1475,Belle,F
1476,Bobette,F
1477,Dennis,F
1478,Elizebeth,F
1479,Enedina,F
1480,Esta,F
1481,Florida,F
1482,Janetta,F
1483,Joella,F
1484,Josefa,F
1485,Lavinia,F
1486,Lyndia,F
1487,Noelia,F
1488,Reatha,F
1489,Robbin,F
1490,Rosina,F
1491,Sharlyn,F
